time(sec), speed(km/h), roll angle, FL force, FR force, RL force, RR force, FL long-slip, FR long-slip, RL long-slip, RR long-slip, FL lat-slip, FR lat-slip, RL lat-slip, RR lat-slip 
0.02, 0.7120246, -0.001630898, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.04, 1.417932, -0.001438354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.06, 2.124302, -0.001256961, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.08, 2.830622, -0.001075785, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.09999999, 3.536943, -0.0008947353, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.12, 4.243262, -0.0007138293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.14, 4.949583, -0.0005331817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.16, 5.655902, -0.0003526586, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.18, 6.362223, -0.0001722971, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.2, 7.068542, 7.862061E-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.22, 7.774862, 0.0001878774, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.24, 8.481182, 0.0003677248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.26, 9.187502, 0.0005473644, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.28, 9.893821, 0.0007268268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.3, 10.60014, 0.0009061957, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.32, 11.30646, 0.00108536, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.34, 12.01278, 0.001264121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.36, 12.7191, 0.001442841, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.38, 13.42542, 0.001621214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.4, 14.13174, 0.001799468, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.42, 14.83806, 0.001977718, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.4400001, 15.54438, 0.002155803, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.4600001, 16.2507, 0.002333418, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.4800001, 15.79728, 0.01012751, 8609.889, 8577.017, 10943.99, 10916.13, 0.9940751, 0.9946711, 0.993995, 0.9945988, 0.009926434, 0.01039297, -0.06292543, -0.06587481 
0.5000001, 14.83896, -0.002949512, 9354.08, 9206.499, 12474.67, 12305.97, 0.9878192, 0.9863511, 0.9871913, 0.9857123, -0.06155134, -0.05742292, 0.05540303, 0.05168535 
0.52, 9.225883, -0.2225952, 5467.085, 5399.042, 5324.378, 5259.257, 0.9779463, 0.9787523, 0.9758285, 0.9768314, 0.01966596, 0.02013903, -0.01845714, -0.0189008 
0.54, 6.021755, 0.0009700361, 2666.852, 3138.531, 5319.082, 5254.025, 0.9701921, 0.9704432, 0.9621449, 0.9628243, 0.01328598, 0.01339753, -0.003638689, -0.003889205 
0.56, 6.709101, 0.01794011, 1473.356, 1452.783, 4756.958, 4699.277, 0.9739222, 0.9746383, 0.9656142, 0.9664279, 0.03454737, 0.03486915, 0.01954292, 0.01972498 
0.58, 7.334008, 0.01265464, 1392.163, 1285.955, 3371.957, 3229.581, 0.974792, 0.9747066, 0.965174, 0.9647833, 0.008163384, 0.008031748, 0.03477842, 0.0342181 
0.6, 8.237898, -0.01797485, 1227.895, 1183.914, 3124.322, 3055.142, 0.9707241, 0.9714954, 0.9556262, 0.9566264, 0.009666906, 0.009696295, 0.004744309, 0.004758739 
0.6199999, 9.091007, -0.05615234, 1236.321, 1129.859, 3040.668, 2899.397, 0.9677016, 0.9682983, 0.9457226, 0.946705, 0.007896577, 0.007864931, 0.01442948, 0.01437167 
0.6399999, 9.930099, -0.0814209, 1259.508, 1071.399, 3005.653, 2769.338, 0.9647138, 0.965044, 0.9342933, 0.9348751, 0.01290165, 0.01278574, 0.02763247, 0.02738427 
0.6599999, 10.76361, -0.1091003, 1210.842, 1142.571, 2887.645, 2792.531, 0.9613626, 0.9620582, 0.9204547, 0.9217876, 0.005163676, 0.005161125, 0.005969461, 0.00596651 
0.6799999, 11.61091, -0.1057129, 1202.669, 1204.082, 2842.738, 2829.802, 0.9576342, 0.9588892, 0.9016291, 0.9044539, 0.003810312, 0.00384852, -0.01240452, -0.01252975 
0.6999999, 12.49894, -0.07296753, 1221.405, 1263.826, 2854.637, 2889.987, 0.9539737, 0.9546605, 0.8769363, 0.8778845, -0.009809727, -0.009780292, -0.004932392, -0.004917555 
0.7199998, 13.3812, -0.06723022, 1352.149, 1272.709, 2978.384, 2871.502, 0.9498245, 0.9509295, 0.8416969, 0.844301, 0.01072953, 0.01075853, 0.006340713, 0.00635783 
0.7399998, 14.29025, -0.04644775, 1346.451, 1436.937, 2958.551, 3051.147, 0.945252, 0.9466674, 0.7883362, 0.7965466, -0.01254826, -0.01257133, -0.01552772, -0.01555627 
0.7599998, 15.29092, -0.03762817, 1557.13, 1349.043, 3261.475, 3003.698, 0.939963, 0.9412928, 0.6545983, 0.6735778, 0.01437563, 0.01434558, 0.01777923, 0.01774207 
0.7799998, 16.24648, -0.006011963, 1508.305, 1590.877, 3207.157, 3290.119, 0.9342212, 0.9360837, 0.315349, 0.3733689, -0.01251788, -0.01252574, -0.01353688, -0.01354538 
0.7999998, 16.97581, 0.008588148, 1860.545, 1598.684, 3454.495, 3136.333, 0.930046, 0.9314074, 0.2494128, 0.2420667, 0.01247438, 0.01237369, 0.0256944, 0.02548705 
0.8199998, 17.71807, 0.0001353864, 1974.402, 1760.15, 3515.708, 3254.625, 0.9235631, 0.9256782, 0.2398374, 0.2373889, 0.005718165, 0.005673692, 0.01843489, 0.01829167 
0.8399997, 18.44925, 0.02535493, 2011.611, 2001.169, 3484.986, 3463.968, 0.9161307, 0.9196805, 0.2265501, 0.2408955, -0.007483842, -0.007478258, -0.006268957, -0.00626428 
0.8599997, 19.19887, 0.03419536, 2277.471, 1998.75, 3733.237, 3399.025, 0.9085559, 0.9117522, 0.2390639, 0.2303007, 0.01221366, 0.01212372, 0.0242589, 0.02408035 
0.8799997, 19.99439, 0.02531777, 2330.688, 2174.258, 3760.959, 3570.686, 0.8974435, 0.9018964, 0.2267799, 0.2216726, -0.002054216, -0.002034081, 0.01410747, 0.01396843 
0.8999997, 20.78011, 0.05205083, 2341.908, 2391.16, 3728.74, 3780.14, 0.8836496, 0.8906452, 0.2148167, 0.2264494, -0.01275224, -0.01271117, -0.00749895, -0.007474809 
0.9199997, 21.56801, 0.04226039, 2534.982, 2398.881, 3921.422, 3756.381, 0.8673056, 0.8768908, 0.2210051, 0.2162426, 0.009795703, 0.009826657, 0.00468054, 0.00469534 
0.9399996, 22.36937, 0.056016, 2552.33, 2558.526, 3915.599, 3917.764, 0.8472763, 0.8602147, 0.2083604, 0.2206787, -0.008555422, -0.008532701, -0.004223554, -0.004212353 
0.9599996, 23.19183, 0.03977922, 2716.837, 2535.978, 4097.851, 3881.259, 0.8207507, 0.8372748, 0.2129855, 0.2068624, 0.008017194, 0.008003803, 0.01073364, 0.01071572 
0.9799996, 24.0356, 0.05821805, 2652.678, 2710.932, 4025.206, 4088.781, 0.7778251, 0.8088, 0.2008737, 0.2126316, -0.008955305, -0.008960265, -0.009855724, -0.009861185 
0.9999996, 24.92864, 0.05196973, 2841.828, 2590.65, 4270.501, 3971.485, 0.7089231, 0.7624508, 0.2063501, 0.2026187, 0.01196103, 0.01193182, 0.01593638, 0.01589747 
1.02, 25.8538, 0.07098576, 2692.227, 2773.204, 4136.961, 4226.513, 0.5686507, 0.6782001, 0.196922, 0.2062041, -0.006235047, -0.006252019, -0.01065057, -0.01067957 
1.04, 26.71239, 0.0509801, 2816.418, 2711.773, 4268.53, 4140.982, 0.3727299, 0.5308693, 0.2020184, 0.1995678, 0.003009734, 0.003002668, 0.006826433, 0.006810423 
1.06, 27.34534, 0.05078446, 2777.302, 2855.749, 4141.073, 4228.968, 0.2659604, 0.345483, 0.1990739, 0.2078717, -0.01253908, -0.01247716, -0.004471625, -0.004449567 
1.08, 27.81754, 0.01098653, 2903.633, 2714.168, 4247.661, 4022.281, 0.2611247, 0.2722057, 0.2080877, 0.2067373, 0.01538604, 0.01548628, 0.004871847, 0.004903615 
1.1, 28.3139, 0.00846819, 2650.864, 2802.304, 3987.939, 4161.232, 0.2637408, 0.2705469, 0.2043433, 0.2117148, -0.009442856, -0.009441281, -0.009171934, -0.009170406 
1.12, 28.88398, -0.02920532, 2706.819, 2617.559, 4069.23, 3960.22, 0.2757966, 0.2674024, 0.2142166, 0.2056004, 0.006743767, 0.006732455, 0.009475555, 0.009459659 
1.14, 29.47728, -0.02853394, 2591.05, 2703.53, 3894.28, 4022.038, 0.2682582, 0.275775, 0.2080356, 0.2151885, -0.006161531, -0.006160346, -0.005849496, -0.005848373 
1.159999, 30.06424, -0.04846191, 2673.598, 2630.14, 3930.647, 3876.512, 0.2748414, 0.2676843, 0.2166996, 0.2094335, 0.00577082, 0.005776164, 0.004265315, 0.004269264 
1.179999, 30.63788, -0.03381348, 2561.214, 2745.51, 3743.844, 3957.045, 0.2675968, 0.2679618, 0.2145553, 0.2149271, -0.008601921, -0.008609047, -0.009944889, -0.009953124 
1.199999, 31.22324, -0.04415894, 2736.017, 2560.279, 3901.401, 3693.57, 0.2713109, 0.2650032, 0.2238427, 0.2165376, 0.008830087, 0.008800091, 0.01437185, 0.01432301 
1.219999, 31.80606, -0.03604126, 2526.051, 2768.618, 3607.759, 3890.485, 0.2668687, 0.2742551, 0.2158808, 0.2226866, -0.009037936, -0.009067381, -0.0143095, -0.0143561 
1.239999, 32.3933, -0.04953003, 2720.284, 2570.178, 3794.828, 3618.027, 0.2695824, 0.2671496, 0.2213444, 0.2181183, 0.005067606, 0.005044174, 0.01262121, 0.01256282 
1.259999, 32.97485, -0.03463745, 2564.097, 2724.334, 3573.739, 3760.959, 0.2678564, 0.2691472, 0.2213928, 0.2230654, -0.01153857, -0.01149541, -0.00544114, -0.005420777 
1.279999, 33.55698, -0.0524292, 2722.624, 2558.36, 3732.027, 3539.532, 0.2672023, 0.2669365, 0.2232752, 0.2214408, 0.01078818, 0.01081323, 0.007023754, 0.007040057 
1.299999, 34.13786, -0.03799438, 2565.322, 2707.149, 3525.823, 3692.061, 0.2656144, 0.2681291, 0.2219144, 0.2246798, -0.01088296, -0.01084682, -0.005470913, -0.005452736 
1.319999, 34.70926, -0.046875, 2750.178, 2518.246, 3721.561, 3450.25, 0.2744539, 0.2737442, 0.2263492, 0.2247965, 0.009447235, 0.009429256, 0.01254557, 0.01252169 
1.339999, 35.29298, -0.02514648, 2572.499, 2681.382, 3508.769, 3636.676, 0.2705394, 0.2783105, 0.2230701, 0.2266561, -0.007498417, -0.007488756, -0.005403429, -0.005396467 
1.359999, 35.87187, -0.03372192, 2701.497, 2541.01, 3656.997, 3469.396, 0.2687707, 0.2713985, 0.2251057, 0.2250532, 0.009773022, 0.009800489, 0.00521864, 0.005233305 
1.379999, 36.45552, -0.01721191, 2541.095, 2690.862, 3470.897, 3646.617, 0.2663082, 0.2731707, 0.222351, 0.2282286, -0.006076581, -0.006095737, -0.0111801, -0.01121534 
1.399999, 37.03158, -0.02862549, 2700.386, 2527.026, 3656.955, 3454.31, 0.2732927, 0.2754771, 0.2253763, 0.2257052, 0.00797333, 0.007985372, 0.005522923, 0.005531264 
1.419999, 37.61474, -0.001440894, 2547.798, 2666.159, 3491.281, 3630.137, 0.2672989, 0.2712984, 0.2241256, 0.2274237, -0.00748175, -0.007486541, -0.008521157, -0.008526612 
1.439999, 38.19658, -0.01400757, 2705.454, 2502.601, 3684.893, 3447.375, 0.2662905, 0.2698602, 0.2247902, 0.2272253, 0.007021622, 0.00701673, 0.008154295, 0.008148613 
1.459999, 38.77793, 0.01248698, 2548.985, 2653.645, 3513.445, 3635.953, 0.265797, 0.2699442, 0.2230035, 0.226506, -0.007201474, -0.007205099, -0.008018802, -0.008022838 
1.479999, 39.35872, -0.0005153279, 2704.706, 2494.439, 3707.557, 3461.059, 0.2658485, 0.2698665, 0.2229894, 0.2257884, 0.006969277, 0.006965363, 0.007882121, 0.007877694 
1.499999, 39.93401, 0.02253813, 2532.695, 2666.007, 3517.036, 3672.853, 0.2677302, 0.2731858, 0.2216928, 0.2259508, -0.008384713, -0.008389357, -0.009284305, -0.009289449 
1.519999, 40.51108, 0.009837533, 2724.403, 2476.5, 3750.523, 3459.699, 0.2720253, 0.275094, 0.2277109, 0.2289718, 0.007860736, 0.007854012, 0.009251821, 0.009243904 
1.539999, 41.09369, 0.0315267, 2538.962, 2661.871, 3546.58, 3689.979, 0.2695203, 0.2764493, 0.2254555, 0.2314972, -0.007734334, -0.007739044, -0.008723259, -0.00872857 
