time(sec), speed(km/h), roll angle, FL force, FR force, RL force, RR force, FL long-slip, FR long-slip, RL long-slip, RR long-slip, FL lat-slip, FR lat-slip, RL lat-slip, RR lat-slip 
0.02, 0.7096875, -0.005336304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.04, 1.415671, -0.01055908, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.06, 2.122005, -0.01577759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.08, 2.828322, -0.02099609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.09999999, 3.53464, -0.0262146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.12, 4.240958, -0.03140259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.14, 4.947277, -0.03662109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.16, 5.653596, -0.04180908, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.18, 6.359916, -0.04699707, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.2, 7.066236, -0.05221558, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.22, 7.772553, -0.05740356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.24, 8.478874, -0.06256104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.26, 9.185192, -0.06774902, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.28, 9.891512, -0.07293701, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.3, 10.59783, -0.07809448, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.32, 11.30415, -0.08325195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.34, 12.01047, -0.08840942, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.36, 12.71679, -0.09356689, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.38, 13.42311, -0.09872437, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.4, 14.12943, -0.1038818, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.42, 14.83575, -0.1090393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.4400001, 15.54207, -0.1141663, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.4600001, 16.24839, -0.1192932, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.4800001, 15.7947, -0.1428833, 8855.042, 8380.501, 11173.23, 10628.72, 0.994835, 0.9946728, 0.9947628, 0.9945893, 0.1164331, 0.1152197, 0.1334288, 0.1320422 
0.5000001, 14.82697, -0.08453369, 9293.963, 9272.067, 12388.55, 12367.29, 0.9874226, 0.9872906, 0.986831, 0.9866653, -0.03742755, -0.03728737, -0.0313218, -0.03120445 
0.52, 9.232565, 0.03334048, 6545.498, 4654.644, 5324.371, 5259.25, 0.9790822, 0.9787889, 0.9770826, 0.9767053, 0.02273151, 0.02261331, 0.03576885, 0.03554438 
0.54, 5.93983, -0.002474568, 3251.57, 2704.557, 5319.2, 5254.142, 0.9705215, 0.9715102, 0.9628853, 0.9635599, 0.03786419, 0.03845171, 0.01695096, 0.01710462 
0.56, 6.606699, -0.003112495, 1477.09, 1573.07, 4692.044, 4771.945, 0.9742649, 0.9756238, 0.9664569, 0.9679376, -0.009090866, -0.009368593, -0.05723668, -0.0589824 
0.58, 7.256604, -0.002889189, 1523.328, 1292.927, 3459.062, 3172.173, 0.9752213, 0.9752806, 0.966229, 0.966051, 0.01974355, 0.01962121, 0.02986985, 0.02968483 
0.6, 8.104466, 0.01254823, 1260.888, 1329.075, 3055.282, 3119.019, 0.9717972, 0.9721817, 0.9585263, 0.958963, -0.02600591, -0.02594386, -0.02211914, -0.02206636 
0.6199999, 8.970213, 0.03740109, 1201.716, 1312.703, 2921.781, 3036.273, 0.9681987, 0.9687377, 0.9496559, 0.9504226, -0.02428682, -0.02429645, -0.02493061, -0.0249405 
0.6399999, 9.827513, 0.03830373, 1325.326, 1136.158, 3020.724, 2784.154, 0.9645977, 0.9653869, 0.9387622, 0.9402393, 0.02047831, 0.02053041, 0.01635723, 0.01639885 
0.6599999, 10.67584, 0.05893654, 1223.58, 1238.115, 2860.991, 2863.602, 0.9608371, 0.9618571, 0.9259239, 0.9285564, -0.009800081, -0.009815656, -0.01238177, -0.01240145 
0.6799999, 11.51374, 0.09410882, 1245.122, 1276.523, 2838.985, 2861.971, 0.9574438, 0.9583693, 0.9111534, 0.9143471, -0.01168059, -0.01164774, -0.0070948, -0.00707486 
0.6999999, 12.37094, 0.09514299, 1375.989, 1230.721, 2968.69, 2785.209, 0.9537045, 0.9546086, 0.89118, 0.8961893, 0.006546461, 0.006495174, 0.01934003, 0.01918881 
0.7199998, 13.27261, 0.07335185, 1400.601, 1309.485, 2999.676, 2879.656, 0.9489809, 0.9504848, 0.861665, 0.8721623, -0.001079843, -0.001074551, 0.007095939, 0.0070603 
0.7399998, 14.17758, 0.07895235, 1425.381, 1433.052, 3019.295, 3015.341, 0.944003, 0.9460585, 0.8211068, 0.8400359, -0.01067363, -0.0106442, -0.006172743, -0.00615575 
0.7599998, 15.12648, 0.06738348, 1591.668, 1416.022, 3232.554, 3013.747, 0.9386581, 0.9411878, 0.745207, 0.7876681, 0.0149118, 0.0149264, 0.01332539, 0.01333843 
0.7799998, 16.15919, 0.07304035, 1517.43, 1610.62, 3218.734, 3314.122, 0.9320884, 0.9350121, 0.54049, 0.6609027, -0.01501476, -0.01497628, -0.01083636, -0.0108086 
0.7999998, 17.06524, 0.04853464, 1751.843, 1616.122, 3451.406, 3279.391, 0.9258366, 0.9294172, 0.2599634, 0.3850496, 0.0103262, 0.01032749, 0.01012471, 0.01012597 
0.8199998, 17.81944, 0.05393477, 1819.907, 1865.034, 3410.695, 3452.396, 0.9195411, 0.9237842, 0.2360226, 0.2407959, -0.01062696, -0.01059748, -0.006100634, -0.006083727 
0.8399997, 18.5608, 0.03705147, 2022.915, 1933.135, 3573.607, 3458.672, 0.9119307, 0.917279, 0.2364017, 0.2288478, 0.01080725, 0.01085487, 0.003682916, 0.003699161 
0.8599997, 19.30966, 0.04435141, 2039.096, 2173.606, 3529.139, 3677.866, 0.9035029, 0.9093205, 0.2241182, 0.2323099, -0.01644459, -0.01638538, -0.01057128, -0.01053323 
0.8799997, 20.06882, 0.02787339, 2290.606, 2164.839, 3766.699, 3611.573, 0.8925253, 0.9007794, 0.2268964, 0.2221727, 0.01632187, 0.01645245, 0.003429076, 0.003456544 
0.8999997, 20.8639, 0.0353229, 2317.349, 2351.652, 3760.571, 3793.613, 0.8790239, 0.88871, 0.2139743, 0.2257753, -0.005369824, -0.005365829, -0.004158525, -0.004155433 
0.9199997, 21.68542, 0.01646421, 2452.499, 2405.864, 3891.713, 3830.581, 0.861303, 0.8722829, 0.2190099, 0.2114019, -0.001256662, -0.001249574, 0.007956349, 0.007911489 
0.9399996, 22.51173, 0.01573252, 2409.697, 2618.274, 3818.658, 4056.938, 0.8346818, 0.8531128, 0.2108471, 0.2241799, -0.01158111, -0.01165511, -0.02189589, -0.02203577 
0.9599996, 23.32996, -0.01596069, 2660.815, 2518.058, 4089.225, 3916.442, 0.8044282, 0.8271985, 0.2115491, 0.2074028, 0.009553477, 0.00956683, 0.007285708, 0.007295892 
0.9799996, 24.1899, -0.003744425, 2623.287, 2664.554, 4045.885, 4088.805, 0.7540305, 0.7937686, 0.2013471, 0.2106349, -0.008704738, -0.008691646, -0.006256777, -0.006247368 
0.9999996, 25.08175, -0.02322388, 2776.292, 2588.782, 4238.42, 4013.342, 0.6732086, 0.7351791, 0.2068339, 0.201383, 0.01256307, 0.01259082, 0.00898142, 0.009001258 
1.02, 25.96543, -0.008850098, 2676.049, 2755.12, 4124.756, 4211.917, 0.5299712, 0.6401686, 0.20045, 0.2074811, -0.01344174, -0.01336889, -0.004588883, -0.004564005 
1.04, 26.78242, -0.02334595, 2822.089, 2678.862, 4273.52, 4100.674, 0.3345856, 0.4682174, 0.2044753, 0.2001636, 0.009054353, 0.00908022, 0.004424678, 0.004437313 
