time(sec), speed(km/h), roll angle, FL force, FR force, RL force, RR force, FL long-slip, FR long-slip, RL long-slip, RR long-slip, FL lat-slip, FR lat-slip, RL lat-slip, RR lat-slip 
0.02, 12.84581, 0.1773492, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.04, 12.93487, 0.3525667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.06, 13.06166, 0.5256565, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.08, 13.22512, 0.6966268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.09999999, 13.4239, 0.865486, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.12, 13.65645, 1.032243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.14, 13.92107, 1.196905, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.16, 14.21597, 1.35948, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.18, 14.5393, 1.519976, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.2, 14.8892, 1.678401, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.22, 15.26384, 1.834761, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.24, 15.66144, 1.989062, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.26, 16.08028, 2.141312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.28, 16.51875, 2.291517, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.3, 16.97533, 2.439682, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.32, 17.44858, 2.585814, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.34, 17.93718, 2.729916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.36, 18.43991, 2.871995, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.38, 18.95564, 3.012057, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.4, 19.48333, 3.150103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.42, 19.98143, 3.148621, 0, 0, 11000.46, 0, 0, 0, 0.9626558, 0, 0, 0, 0.03006054, 0 
0.4400001, 20.33651, 2.955489, 0, 0, 12777.56, 9615.946, 0, 0, 0.9548687, 0.9657749, 0, 0, 0.06376123, 0.06624988 
0.4600001, 20.67191, 3.047428, 0, 0, 8951.726, 11435.16, 0, 0, 0.9406839, 0.9593459, 0, 0, -0.07740381, -0.08277135 
0.4800001, 18.51934, -0.2520142, 0, 0, 5299.725, 11669.89, 0, 0, 0.929992, 0.9471244, 0, 0, 0.08407035, 0.08102109 
0.5000001, 19.3669, -2.074951, 0, 7681.775, 4934.851, 5249.302, 0, 0.9711785, 0.93929, 0.9419902, 0, -0.1707602, 0.02171822, 0.008565631 
0.52, 19.69861, -0.007476807, 5653.608, 11467.07, 5113.324, 5251.006, 0.9691419, 0.9633465, 0.9079165, 0.9241857, -0.1134817, -0.1074837, -0.02510899, -0.04318995 
0.54, 20.90694, -0.3355713, 8935.449, 9849.558, 4324.859, 5493.665, 0.9608732, 0.9591696, 0.8724043, 0.9068351, 0.1011779, 0.1055278, 0.03401985, 0.03548951 
0.56, 22.31865, -0.9279175, 4550.192, 4485.078, 3915.441, 5258.681, 0.9528896, 0.9491354, 0.8301916, 0.867544, 0.03008308, 0.02943874, 0.02143311, 0.02150577 
0.58, 22.51575, 0.0004290493, 4547.839, 4482.758, 3209.275, 5255.961, 0.9460225, 0.9428006, 0.7720453, 0.814384, -0.01051743, -0.01340551, -0.04087847, -0.04228209 
0.6, 24.37062, -0.0006410358, 4550.71, 4485.588, 5324.4, 5259.279, 0.928122, 0.9218185, 0.4865596, 0.6424688, 0.05143848, 0.05212386, 0.03043578, 0.03084728 
0.6199999, 25.13778, 0.07354, 601.7651, 1179.051, 4345.405, 4979.212, 0.9227711, 0.9149432, 0.1896109, 0.2830375, -0.02093908, -0.02094298, -0.02124202, -0.02124598 
0.6399999, 25.67665, -0.1139526, 491.5522, 509.4556, 4296.398, 4272.989, 0.9231755, 0.914061, 0.2163858, 0.1900116, 0.009195178, 0.009092617, 0.02755762, 0.02724996 
0.6599999, 26.2182, -0.07894897, 49.60742, 584.1997, 3640.547, 4223.618, 0.922572, 0.9142548, 0.2118445, 0.2178992, -0.009500313, -0.009521295, -0.01305672, -0.0130855 
